wavelength,irradiance
380,0.130011
385,0.088945
390,0.0987
395,0.172585
400,0.403566
405,1.048121
410,2.596465
415,5.727466
420,11.433837
425,20.972664
430,35.272271
435,52.764404
440,73.482741
445,99.497587
450,103.887461
455,73.546843
460,44.341938
465,29.452317
470,18.95742
475,12.066261
480,8.939112
485,7.753102
490,7.933558
495,10.133632
500,14.384158
505,20.954669
510,29.790208
515,39.40522
520,48.853377
525,57.28764
530,63.406481
535,68.189311
540,71.811442
545,73.548379
550,75.417109
555,76.064457
560,75.743944
565,75.241629
570,74.676556
575,73.061054
580,71.538863
585,69.180598
590,67.279396
595,64.440283
600,61.446627
605,57.905705
610,55.001755
615,51.956338
620,48.235023
625,44.853086
630,41.603498
635,38.01294
640,34.85672
645,31.907375
650,29.218194
655,26.315649
660,23.730406
665,21.300468
670,18.901369
675,17.106211
680,15.424832
685,13.862709
690,12.439739
695,11.131493
700,9.778828
705,8.843336
710,7.780792
715,6.762675
720,6.1197
725,5.465453
730,4.790334
735,4.173878
740,3.716034
745,3.294274
750,2.906539
755,2.64399
760,2.290259
765,1.969764
770,1.840663
775,1.6292
780,1.373472
