wavelength,irradiance
380,0.037211
385,0.022173
390,0.022434
395,0.031346
400,0.059323
405,0.1479
410,0.388301
415,0.920837
420,1.987069
425,3.916332
430,7.087712
435,11.668
440,17.355184
445,25.868689
450,35.470077
455,36.911435
460,27.6842
465,19.425749
470,14.831263
475,11.227282
480,8.828503
485,8.042822
490,8.433825
495,9.752745
500,12.269477
505,15.824031
510,19.96096
515,24.101052
520,28.204884
525,31.700165
530,34.795498
535,37.518325
540,40.299836
545,42.980586
550,45.83314
555,48.870341
560,51.653404
565,54.715106
570,58.229262
575,60.609305
580,63.582478
585,65.430788
590,67.599102
595,67.798555
600,67.706304
605,66.234339
610,64.810078
615,62.289893
620,59.287588
625,55.904412
630,52.214892
635,48.148562
640,43.790053
645,40.212257
650,36.428244
655,32.634218
660,28.819511
665,25.871968
670,22.561535
675,19.902839
680,17.687038
685,15.683714
690,13.537956
695,11.902104
700,10.433735
705,9.132653
710,7.81543
715,6.895742
720,6.007689
725,5.285212
730,4.501203
735,3.890856
740,3.408831
745,2.957247
750,2.599816
755,2.193672
760,1.878217
765,1.65135
770,1.445225
775,1.235304
780,1.153713
